endTime,artistName,trackName,msPlayed,hourlyTime
2024-07-18 08:30:00,Weyes Blood,Andromeda,115324,2024-07-18 08:00:00
2024-07-19 08:03:00,Frank Ocean,Ivy,249065,2024-07-19 08:00:00
2024-07-19 08:32:00,Frank Ocean,Self Control,249450,2024-07-19 08:00:00
2024-07-19 08:36:00,Frank Ocean,Sweet Life,262642,2024-07-19 08:00:00
2024-07-19 08:39:00,Frank Ocean,Sierra Leone,148544,2024-07-19 08:00:00
2024-07-20 14:10:00,Adele,Hello,295502,2024-07-20 14:00:00
2024-07-20 14:14:00,Adele,Send My Love (To Your New Lover),223078,2024-07-20 14:00:00
2024-07-20 14:19:00,Adele,I Miss You,348625,2024-07-20 14:00:00
2024-07-20 14:24:00,Adele,When We Were Young,290900,2024-07-20 14:00:00
2024-07-20 14:28:00,Adele,Remedy,245426,2024-07-20 14:00:00
2024-07-20 14:32:00,Adele,Water Under the Bridge,240439,2024-07-20 14:00:00
2024-07-20 15:42:00,Adele,River Lea,8230,2024-07-20 15:00:00
2024-07-20 18:24:00,Frank Ocean,Pyramids,180597,2024-07-20 18:00:00
2024-07-21 13:37:00,Billie Eilish,L’AMOUR DE MA VIE,221845,2024-07-21 13:00:00
2024-07-21 13:41:00,Ariana Grande,ghostin,251733,2024-07-21 13:00:00
2024-07-21 13:45:00,Maroon 5,Sunday Morning,228095,2024-07-21 13:00:00
2024-07-21 13:50:00,Mereba,Sandstorm (feat. JID),293503,2024-07-21 13:00:00
2024-07-21 13:52:00,Zeke Bleu,ME&U,131391,2024-07-21 13:00:00
2024-07-21 13:55:00,Ariana Grande,don't wanna break up again,168981,2024-07-21 13:00:00
2024-07-21 13:56:00,Ariana Grande,intro (end of the world),90026,2024-07-21 13:00:00
2024-07-21 13:59:00,Ariana Grande,bye,146005,2024-07-21 13:00:00
2024-07-21 13:59:00,Quavo,Tough,2560,2024-07-21 13:00:00
2024-07-21 14:01:00,noevdv,want u,1481,2024-07-21 14:00:00
2024-07-21 14:01:00,Frank Ocean,Sierra Leone,148760,2024-07-21 14:00:00
2024-07-21 14:01:00,Drake,Summers Over Interlude,2517,2024-07-21 14:00:00
2024-07-21 14:04:00,Travis Scott,90210 (feat. Kacy Hill),176170,2024-07-21 14:00:00
2024-07-21 21:25:00,Tory Lanez,The Color Violet,83818,2024-07-21 21:00:00
2024-07-21 21:29:00,Billie Eilish,L’AMOUR DE MA VIE,234650,2024-07-21 21:00:00
2024-07-21 21:35:00,Billie Eilish,watch,1710,2024-07-21 21:00:00
2024-07-21 21:38:00,Daniel Caesar,Let Me Go,194688,2024-07-21 21:00:00
2024-07-21 21:42:00,Ella Mai,Boo'd Up,7573,2024-07-21 21:00:00
2024-07-21 21:42:00,Ariana Grande,we can't be friends (wait for your love),11264,2024-07-21 21:00:00
2024-07-21 21:42:00,Ariana Grande,we can't be friends (wait for your love),220928,2024-07-21 21:00:00
2024-07-21 21:42:00,Ariana Grande,i wish i hated you,2218,2024-07-21 21:00:00
2024-07-21 21:46:00,Ella Mai,Boo'd Up,224021,2024-07-21 21:00:00
2024-07-21 21:50:00,Ella Mai,Trip,213993,2024-07-21 21:00:00
2024-07-21 21:50:00,Ella Mai,She Don't (feat. Ty Dolla $Ign),0,2024-07-21 21:00:00
2024-07-21 21:54:00,H.E.R.,Could've Been (feat. Bryson Tiller),246783,2024-07-21 21:00:00
2024-07-21 21:57:00,SZA,Supermodel,167786,2024-07-21 21:00:00
2024-07-21 21:58:00,SZA,Wavy (Interlude) (feat. James Fauntleroy),66346,2024-07-21 21:00:00
2024-07-21 21:58:00,SZA,Garden (Say It Like Dat),0,2024-07-21 21:00:00
2024-07-21 21:58:00,SZA,Garden (Say It Like Dat),341,2024-07-21 21:00:00
2024-07-21 21:58:00,SZA,Garden (Say It Like Dat),490,2024-07-21 21:00:00
2024-07-21 21:58:00,SZA,Go Gina,170,2024-07-21 21:00:00
2024-07-21 21:58:00,SZA,Broken Clocks,362,2024-07-21 21:00:00
2024-07-21 22:01:00,SZA,Garden (Say It Like Dat),161002,2024-07-21 22:00:00
2024-07-21 22:05:00,SZA,Drew Barrymore,231257,2024-07-21 22:00:00
2024-07-21 22:05:00,SZA,Prom,0,2024-07-21 22:00:00
2024-07-21 22:08:00,SZA,The Weekend - Funk Wav Remix,169322,2024-07-21 22:00:00
2024-07-21 22:11:00,Kali Uchis,Dead To Me,14762,2024-07-21 22:00:00
2024-07-21 22:11:00,Doja Cat,Kiss Me More (feat. SZA),208866,2024-07-21 22:00:00
2024-07-21 22:11:00,Olivia Rodrigo,favorite crime,383,2024-07-21 22:00:00
2024-07-21 22:11:00,Billie Eilish,BIRDS OF A FEATHER,277,2024-07-21 22:00:00
2024-07-21 22:11:00,"Tyler, The Creator",See You Again (feat. Kali Uchis),575,2024-07-21 22:00:00
2024-07-21 22:11:00,Frank Ocean,Pink + White,1002,2024-07-21 22:00:00
2024-07-21 22:14:00,Kali Uchis,Your Teeth In My Neck,140885,2024-07-21 22:00:00
2024-07-21 22:16:00,Steve Lacy,Ryd,140182,2024-07-21 22:00:00
2024-07-21 22:18:00,Orion Sun,Mirage,19716,2024-07-21 22:00:00
2024-07-21 22:18:00,Miguel,Girl With The Tattoo Enter.lewd,102813,2024-07-21 22:00:00
2024-07-21 22:20:00,Laufey,I Wish You Love,111637,2024-07-21 22:00:00
2024-07-21 22:22:00,Selena Gomez & The Scene,Love You Like A Love Song,102271,2024-07-21 22:00:00
2024-07-22 09:52:00,SZA,Garden (Say It Like Dat),208400,2024-07-22 09:00:00
2024-07-22 09:57:00,The Carters,SUMMER,285200,2024-07-22 09:00:00
2024-07-22 10:05:00,Brent Faiyaz,Stay Down,207325,2024-07-22 10:00:00
2024-07-22 19:24:00,Ms. Lauryn Hill,Tell Him,158716,2024-07-22 19:00:00
2024-07-25 10:19:00,GIVĒON,Like I Want You - Acoustic,12246,2024-07-25 10:00:00
2024-07-25 10:20:00,Margo Guryan,Why Do I Cry,6362,2024-07-25 10:00:00
2024-07-25 10:20:00,Total,Can't You See,2809,2024-07-25 10:00:00
2024-07-25 10:25:00,Billie Eilish,THE GREATEST,293840,2024-07-25 10:00:00
2024-07-25 10:30:00,Billie Eilish,CHIHIRO,303440,2024-07-25 10:00:00
2024-07-25 10:33:00,Billie Eilish,LUNCH,179586,2024-07-25 10:00:00
2024-07-25 10:43:00,Billie Eilish,SKINNY,163878,2024-07-25 10:00:00
2024-07-25 10:50:00,Drake,Knife Talk (with 21 Savage ft. Project Pat),242964,2024-07-25 10:00:00
2024-07-25 11:32:00,J. Cole,No Role Modelz,17046,2024-07-25 11:00:00
2024-07-29 10:19:00,PinkPantheress,Boy's a liar Pt. 2,14960,2024-07-29 10:00:00
2024-07-29 10:19:00,Ice Spice,Oh Shhh...(with Travis Scott),19520,2024-07-29 10:00:00
2024-07-29 10:52:00,Drake,Knife Talk (with 21 Savage ft. Project Pat),5360,2024-07-29 10:00:00
2024-07-29 10:53:00,Polo G,Flex (feat. Juice WRLD),11460,2024-07-29 10:00:00
2024-07-29 10:55:00,Polo G,Flex (feat. Juice WRLD),163902,2024-07-29 10:00:00
2024-07-29 10:58:00,Central Cee,BAND4BAND (feat. Lil Baby),140733,2024-07-29 10:00:00
2024-07-29 11:02:00,Future,Like That,267706,2024-07-29 11:00:00
2024-07-29 11:06:00,Kendrick Lamar,Not Like Us,274192,2024-07-29 11:00:00
2024-07-29 11:10:00,Travis Scott,FE!N (feat. Playboi Carti),191700,2024-07-29 11:00:00
2024-07-29 11:14:00,21 Savage,redrum,270697,2024-07-29 11:00:00
2024-07-29 11:24:00,Kendrick Lamar,Money Trees,386906,2024-07-29 11:00:00
2024-07-29 11:28:00,The Weeknd,The Hills,242253,2024-07-29 11:00:00
2024-07-29 11:32:00,¥$,CARNIVAL,264324,2024-07-29 11:00:00
2024-07-29 11:35:00,Drake,Wants and Needs (feat. Lil Baby),192956,2024-07-29 11:00:00
2024-07-29 11:41:00,21 Savage,Runnin,195906,2024-07-29 11:00:00
2024-07-29 11:45:00,J. Cole,Work Out,235320,2024-07-29 11:00:00
2024-07-29 11:47:00,XXXTENTACION,Fuck Love,146520,2024-07-29 11:00:00
2024-07-29 11:51:00,Doja Cat,Streets,226986,2024-07-29 11:00:00
2024-07-29 11:54:00,Metro Boomin,Space Cadet (feat. Gunna),203266,2024-07-29 11:00:00
2024-07-29 11:58:00,Metro Boomin,Too Many Nights (feat. Don Toliver & with Future),199920,2024-07-29 11:00:00
2024-07-30 11:20:00,Travis Scott,TOPIA TWINS (feat. Rob49 & 21 Savage),102371,2024-07-30 11:00:00
2024-08-03 01:17:00,Chappell Roan,"Good Luck, Babe!",197376,2024-08-03 01:00:00
2024-08-03 01:20:00,SZA,Garden (Say It Like Dat),145194,2024-08-03 01:00:00
2024-08-03 01:22:00,The Weeknd,Save Your Tears,103807,2024-08-03 01:00:00
