endTime,podcastName,episodeName,msPlayed,hourlyTime
2024-07-19 12:15:00,Pretty Lonesome with Madeline Argy,Yapping Again,2496286,2024-07-19 12:00:00
2024-07-19 14:01:00,Pretty Lonesome with Madeline Argy,Yapping Again,257163,2024-07-19 14:00:00
2024-07-19 20:26:00,Crime Junkie,"MURDERED: Roberta ""Bibi"" Lee",109560,2024-07-19 20:00:00
2024-07-20 13:57:00,Crime Junkie,"MURDERED: Roberta ""Bibi"" Lee",608384,2024-07-20 13:00:00
2024-07-20 16:36:00,True Crime with Kendall Rae,High School Teen & Rodeo Star Murdered by Her Ex: The Case of Ashley Doolittle,3072365,2024-07-20 16:00:00
2024-07-20 16:46:00,Hot Mess with Alix Earle,WTF Is Confidence? (ft. Ashtin),215154,2024-07-20 16:00:00
2024-07-22 09:48:00,Crime Junkie,"MURDERED: Roberta ""Bibi"" Lee",1454610,2024-07-22 09:00:00
2024-07-23 13:18:00,The Nikki & Brie Show,Love Island USA: Spill the Tea w/ Nikki & Brie featuring Serena & Kordell,1558575,2024-07-23 13:00:00
2024-07-24 07:44:00,Call Her Daddy,Rob’s Love Island Tell All,5082348,2024-07-24 07:00:00
2024-07-25 12:07:00,Crime Junkie,MISSING: Trevor Deely,1310090,2024-07-25 12:00:00
2024-07-25 20:58:00,Crime Junkie,MISSING: Trevor Deely,511840,2024-07-25 20:00:00
2024-07-26 06:53:00,Call Her Daddy,Leah’s Love Island Tell All,189013,2024-07-26 06:00:00
2024-07-26 07:21:00,Call Her Daddy,Leah’s Love Island Tell All,866786,2024-07-26 07:00:00
2024-07-26 10:06:00,Call Her Daddy,Leah’s Love Island Tell All,3737121,2024-07-26 10:00:00
2024-07-26 21:49:00,Crime Junkie,MISSING: Trevor Deely,726550,2024-07-26 21:00:00
2024-07-28 06:40:00,Crime Junkie,MISSING: Trevor Deely,951093,2024-07-28 06:00:00
2024-07-29 08:55:00,Crime Junkie,AUDIO EXTRA: Unsolved Mysteries Part 1 & 2,1422017,2024-07-29 08:00:00
2024-07-29 10:16:00,Crime Junkie,MURDERED: Kelly Disney,1285260,2024-07-29 10:00:00
2024-07-29 10:18:00,Crime Junkie,AUDIO EXTRA: Unsolved Mysteries Part 1 & 2,139480,2024-07-29 10:00:00
2024-07-29 10:48:00,Crime Junkie,MURDERED: Kelly Disney,976340,2024-07-29 10:00:00
2024-07-29 10:52:00,Crime Junkie,AUDIO EXTRA: Unsolved Mysteries Part 1 & 2,101100,2024-07-29 10:00:00
2024-08-08 07:06:00,Hot Mess with Alix Earle,Summering with John Summit,447808,2024-08-08 07:00:00
2024-08-09 07:37:00,Crime Junkie,WANTED: Justice for Arnold Archambeau & Ruby Bruguier,1797130,2024-08-09 07:00:00
2024-08-09 08:14:00,Crime Junkie,MYSTERIOUS DEATH OF: Robin Pope,2223500,2024-08-09 08:00:00
2024-08-09 09:07:00,Crime Junkie,SERIAL KILLER: Paul Bernardo & Karla Homolka,3123577,2024-08-09 09:00:00
2024-08-17 08:43:00,Crime Junkie,MYSTERIOUS DEATH OF: Cindy James,575870,2024-08-17 08:00:00
2024-08-17 13:04:00,American Wedding - Frank Ocean ,American Wedding ,267021,2024-08-17 13:00:00
2024-08-17 16:01:00, nostalgia,we all try*,520,2024-08-17 16:00:00
2024-08-19 17:18:00,True Crime with Kendall Rae,Vanished After Leaving a Bar: What Happened to 27-Year-Old Gretchen Fleming?,2818300,2024-08-19 17:00:00
2024-08-21 14:42:00,Not Skinny But Not Fat,KAYLOR & LIV CAME HERE FOR LOVE,178027,2024-08-21 14:00:00
2024-08-27 11:45:00,Crime Junkie,MYSTERIOUS DEATH OF: Cindy James,2665393,2024-08-27 11:00:00
2024-08-27 11:45:00,Call Her Daddy,I Got Catfished in Paris,11501,2024-08-27 11:00:00
2024-08-27 16:17:00,Crime Junkie,MYSTERIOUS DEATH OF: Jane Neumann,510920,2024-08-27 16:00:00
2024-08-28 04:48:00,Crime Junkie,MURDERED: Kent Leppink,3382527,2024-08-28 04:00:00
2024-08-29 18:51:00,Crime Junkie,"MURDERED: Bryan ""Nick"" Moore",290934,2024-08-29 18:00:00
2024-08-31 23:42:00,AlternateHistoryHub,The Only Way Germany Could’ve Won WWII,380,2024-08-31 23:00:00
2024-09-01 13:12:00,AlternateHistoryHub,The Only Way Germany Could’ve Won WWII,0,2024-09-01 13:00:00
2024-09-04 13:44:00,Crime Junkie,"MURDERED: Bryan ""Nick"" Moore",665900,2024-09-04 13:00:00
