hour_of_day,time_display,dominant_vibe,avg_vibe_plays,top_artist,artist_plays,top_song,song_artist,song_plays
0,12:00 AM,Main Character Music,5.91,Beyoncé,29,Charm,Rema,5
1,1:00 AM,Shake Ahh Music,6.25,Arctic Monkeys,18,back to friends,sombr,4
2,2:00 AM,Shake Ahh Music,6.50,Tems,21,Back To Me,The Marías,5
3,3:00 AM,Shake Ahh Music,4.80,Frank Ocean,13,Ivy,Frank Ocean,5
4,4:00 AM,Main Character Music,3.20,Frank Ocean,8,Venice Bitch,Lana Del Rey,2
5,5:00 AM,Hot Girl Music,4.00,Frank Ocean,9,Jealousy (feat. Leemckrazy & Ceeka RSA),Khalil Harrison,3
6,6:00 AM,Hot Girl Music,3.80,SZA,9,Pink Pony Club,Chappell Roan,2
7,7:00 AM,Hot Girl Music,10.43,SZA,22,Party (feat. J. Cole),Beyoncé,3
8,8:00 AM,Hot Girl Music,9.31,Beyoncé,32,Champagne Coast,Blood Orange,7
9,9:00 AM,White Girl Music,4.57,Taylor Swift,19,Diet Mountain Dew,Lana Del Rey,4
10,10:00 AM,White Girl Music,4.60,Adele,11,Knife Talk (with 21 Savage ft. Project Pat),Drake,2
11,11:00 AM,Hot Girl Music,5.15,Arctic Monkeys,15,Tyrone - Extended Version,Erykah Badu,2
12,12:00 PM,Hot Girl Music,6.30,SZA,18,Everybody Wants To Rule The World,Tears For Fears,4
13,1:00 PM,Hot Girl Music,3.61,SZA,15,Disco,Surf Curse,3
14,2:00 PM,Shake Ahh Music,5.00,SZA,15,Scorsese Baby Daddy,SZA,3
15,3:00 PM,Hot Girl Music,4.31,Lana Del Rey,13,Drive By,Eric Bellinger,2
16,4:00 PM,Main Character Music,3.81,Gracie Abrams,16,Cola,Lana Del Rey,3
17,5:00 PM,Main Character Music,3.54,SZA,20,Back To Me,The Marías,3
18,6:00 PM,Shake Ahh Music,4.29,Tems,17,Scorsese Baby Daddy,SZA,4
19,7:00 PM,Shake Ahh Music,4.00,Lana Del Rey,20,Moon River,Frank Ocean,2
20,8:00 PM,Hot Girl Music,3.74,Beyoncé,23,SUMMER,The Carters,3
21,9:00 PM,Shake Ahh Music,5.00,Taylor Swift,21,Garden (Say It Like Dat),SZA,4
22,10:00 PM,Hot Girl Music,3.60,Kendrick Lamar,13,One Less Lonely Girl,Justin Bieber,3
23,11:00 PM,Main Character Music,3.68,Billie Eilish,25,Close To You,Gracie Abrams,5
